id,title,release,lead_studio,rating_imdb,genre
1,Avatar : The Way Of Water,2022,20th Century Fox,7.9,Science Fiction/Action/Drama
2,Avengers : Endgame,2019,Walt Disney,8.4,Science Fiction/Action
3,Avengers : Infinity War,2018,Walt Disney,8.4,Science Fiction/Action
4,No Time To Die,2021,MGM Pictures,7.3,Action/Drama
5,Dune,2021,Warner Bros,8,Science Fiction/Drama
6,West Side Story,2021,20th Century Fox,7.2,Musical/Romance
7,Knives Out,2019,Lionsgate,7.9,Mystery/Crime
8,Bones And All,2022,MGM Pictures,7,Thriller/Crime/Drama
9,Tenet,2020,Warner Bros,7.3,Science Fiction/Action/Thriller
10,Last Night In Soho,2021,Focus Feature,7.1,Horror
11,A Quiet Place,2018,Paramount Pictures,7.5,Science Fiction/Horror
12,Judas And The Black Messiah,2021,Warner Bros,7.4,Biographical Drama
13,Blade Runner 2049,2017,Warner Bros,8,Science Fiction/Action/Drama
14,Joker,2019,Warner Bros,8.4,Drama
15,The Batman,2022,Warner Bros,7.9,Action/Mystery/Crime
16,The Menu,2022,Fox Searchlight,7.4,Thriller/Mystery
17,It ,2017,Warner Bros,7.3,Horror
18,RRR,2022,Pen Movies,7.9,Biographical Drama/Action
19,Spider-Man : No Way Home,2021,Sony Pictures ,8.2,Science Fiction/Action
20,Spider-Man : Into The Spider-verse,2018,Sony Animation ,8.4,Animation
21,1917,2019,Universal Pictures,8.2,War/Drama
22,Godzilla Vs Kong,2021,Warner Bros,6.3,Science Fiction/Action
23,Barbarian,2022,20th Century Fox,7,Horror/Slasher
24,A Star Is Born,2018,Warner Bros,7.6,Musical/Romance
25,First Man,2018,Universal Pictures,7.3,Biographical Drama
26,BlacKkKlansman,2018,Focus Feature,7.5,Biographical Drama/Thriller
27,The Fabelsman,2022,Universal Pictures,7.7,Semi Biography/Drama
28,BookSmart,2019,ANNAPURNA Pictures,7.1,Coming Of Age/Drama
29,Drive My Car,2021,Janus Films,7.6,Drama
30,Ford V Ferrari,2019,20th Century Fox,8.1,Biographical Drama/Action
31,Triangle Of Sadness,2022,NEON ,7.5,Drama
32,Happening,2021,IFC Films,7.4,Coming Of Age/Drama
33,Never Rarely Sometimes Always ,2020,Focus Feature,7.4,Coming Of Age/Drama
34,Pengabdi Setan,2017,Rapi Films,6.5,Horror
35,Mencuri Raden Saleh ,2022,Visinema Pictures,8,Heist/Action/Drama
36,Parasite,2019,NEON ,8.5,Drama
37,Decision To Leave,2022,MUBI,7.3,Drama/Mystery
38,Aquaman,2018,Warner Bros,7,Science Fiction/Action
39,Star Wars : The Rise Of Skywalker,2019,Lucas Film,6.5,Science Fiction/Action/Drama
40,Bohemian Rhapsody,2018,20th Century Fox,7.9,Biographical Drama
41,The Unbearable Weight Of Massive Talent,2022,Lionsgate,7,Fantasy/Comedy
42,Little Women,2019,Sony Pictures ,7.8,Drama/Family
43,Nope,2022,Universal Pictures,6.9,Science Fiction/Horror
44,Black Panther ,2018,Walt Disney,7.3,Science Fiction/Action
45,Everything Everywhere All At Once,2022,A24,8.1,Science Fiction/Action/Drama
46,Babylon,2023,Paramount Pictures,7.4,Fantasy/Drama
47,Elvis,2022,Warner Bros,7.4,Biographical Drama
48,Once Upon A time In Hollywood,2019,Sony Pictures ,7.6,Drama
49,Jurassic World Dominion,2022,Universal Pictures,5.6,Science Fiction/Action
50,Top Gun : Maverick,2022,Paramount Pictures,8.4,Fantasy/Action/Drama